d_lat,seed,step,true_sig,true_null,emp_sig,emp_null,ref_sig,ref_null,total_true
40,44,250000,0.8064016103744507,0.8411002159118652,11.622777938842773,3.8916163444519043,13.423324584960938,5.050371170043945,0.836762809753418
40,44,500000,2.0588760375976562,1.5000108480453491,10.533400535583496,3.585573196411133,13.423324584960938,5.050371170043945,1.5698689460754394
40,44,1000000,3.2728958129882812,1.832558274269104,10.002922058105469,3.4167816638946533,13.423324584960938,5.050371170043945,2.0126005172729493
40,44,2000000,4.26737117767334,1.984642505645752,9.728044509887695,3.3235011100769043,13.423324584960938,5.050371170043945,2.269983673095703
40,44,3000000,4.76998233795166,2.0357108116149902,9.648734092712402,3.286855697631836,13.423324584960938,5.050371170043945,2.377495002746582
40,44,5000000,4.71766996383667,2.033437967300415,9.457071304321289,3.2416791915893555,13.423324584960938,5.050371170043945,2.368967056274414
40,45,50000,0.1907132863998413,0.07888852804899216,13.001917839050293,4.774934768676758,12.911081314086914,4.9502153396606445,0.09286661744117737
40,45,250000,0.7405086755752563,0.8626354336738586,11.287275314331055,3.7609853744506836,12.911081314086914,4.9502153396606445,0.8473695755004883
40,45,500000,1.9147071838378906,1.5176697969436646,10.399065017700195,3.4773900508880615,12.911081314086914,4.9502153396606445,1.5672995567321777
40,45,1000000,3.260930299758911,1.8101342916488647,9.768826484680176,3.3155064582824707,12.911081314086914,4.9502153396606445,1.9914836883544922
40,45,2000000,4.128543853759766,1.9939988851547241,9.525003433227539,3.2100393772125244,12.911081314086914,4.9502153396606445,2.2608171463012696
40,45,3000000,4.330456733703613,1.9925587177276611,9.463827133178711,3.175079584121704,12.911081314086914,4.9502153396606445,2.284796142578125
40,45,5000000,4.626723766326904,2.062448501586914,9.382156372070312,3.125545024871826,12.911081314086914,4.9502153396606445,2.3829830169677733
40,46,50000,0.2266191989183426,0.0808403342962265,13.190797805786133,4.839939594268799,12.962045669555664,4.965951919555664,0.09906269311904907
40,46,250000,0.6989960670471191,0.8074367046356201,11.389909744262695,3.83245587348938,12.962045669555664,4.965951919555664,0.7938815116882324
40,46,500000,1.8548862934112549,1.4253432750701904,10.324055671691895,3.5399067401885986,12.962045669555664,4.965951919555664,1.4790361404418946
