seed,folder,d,step,mem
42,d20,20,4440000,
42,d20,20,4450000,
42,d20,20,4460000,
42,d20,20,4470000,
42,d20,20,4480000,
42,d20,20,4490000,
42,d20,20,4500000,0.01360000018030405
42,d20,20,4510000,
42,d20,20,4520000,
42,d20,20,4530000,
42,d20,20,4540000,
42,d20,20,4550000,
42,d20,20,4560000,
42,d20,20,4570000,
42,d20,20,4580000,
42,d20,20,4590000,
42,d20,20,4600000,0.013299999758601189
42,d20,20,4610000,
42,d20,20,4620000,
42,d20,20,4630000,
42,d20,20,4640000,
42,d20,20,4650000,
42,d20,20,4660000,
42,d20,20,4670000,
42,d20,20,4680000,
42,d20,20,4690000,
42,d20,20,4700000,0.011699999682605267
42,d20,20,4710000,
42,d20,20,4720000,
42,d20,20,4730000,
42,d20,20,4740000,
42,d20,20,4750000,
42,d20,20,4760000,
42,d20,20,4770000,
42,d20,20,4780000,
42,d20,20,4790000,
42,d20,20,4800000,0.010900000110268593
42,d20,20,4810000,
42,d20,20,4820000,
42,d20,20,4830000,
42,d20,20,4840000,
42,d20,20,4850000,
42,d20,20,4860000,
42,d20,20,4870000,
42,d20,20,4880000,
42,d20,20,4890000,
42,d20,20,4900000,0.012799999676644802
42,d20,20,4910000,
42,d20,20,4920000,
42,d20,20,4930000,
42,d20,20,4940000,
42,d20,20,4950000,
42,d20,20,4960000,
42,d20,20,4970000,
42,d20,20,4980000,
42,d20,20,4990000,
42,d20,20,5000000,0.010300000198185444
43,d20,20,1,0.0
43,d20,20,10000,
43,d20,20,20000,
43,d20,20,30000,
43,d20,20,40000,
43,d20,20,50000,
43,d20,20,60000,
43,d20,20,70000,
43,d20,20,80000,
43,d20,20,90000,
43,d20,20,100000,0.0
43,d20,20,110000,
43,d20,20,120000,
43,d20,20,130000,
43,d20,20,140000,
43,d20,20,150000,
43,d20,20,160000,
43,d20,20,170000,
43,d20,20,180000,
43,d20,20,190000,
43,d20,20,200000,9.999999747378752e-05
43,d20,20,210000,
43,d20,20,220000,
43,d20,20,230000,
43,d20,20,240000,
43,d20,20,250000,
43,d20,20,260000,
43,d20,20,270000,
43,d20,20,280000,
43,d20,20,290000,
43,d20,20,300000,0.0013000000035390258
43,d20,20,310000,
43,d20,20,320000,
43,d20,20,330000,
43,d20,20,340000,
43,d20,20,350000,
43,d20,20,360000,
43,d20,20,370000,
43,d20,20,380000,
43,d20,20,390000,
43,d20,20,400000,0.0015999999595806003
43,d20,20,410000,
43,d20,20,420000,
43,d20,20,430000,
43,d20,20,440000,
43,d20,20,450000,
43,d20,20,460000,
43,d20,20,470000,
43,d20,20,480000,
43,d20,20,490000,
43,d20,20,500000,0.0032999999821186066
43,d20,20,510000,
43,d20,20,520000,
43,d20,20,530000,
43,d20,20,540000,
43,d20,20,550000,
43,d20,20,560000,
43,d20,20,570000,
43,d20,20,580000,
43,d20,20,590000,
43,d20,20,600000,0.0035000001080334187
43,d20,20,610000,
43,d20,20,620000,
43,d20,20,630000,
43,d20,20,640000,
43,d20,20,650000,
43,d20,20,660000,
43,d20,20,670000,
43,d20,20,680000,
43,d20,20,690000,
43,d20,20,700000,0.00570000009611249
43,d20,20,710000,
43,d20,20,720000,
43,d20,20,730000,
43,d20,20,740000,
43,d20,20,750000,
43,d20,20,760000,
43,d20,20,770000,
43,d20,20,780000,
43,d20,20,790000,
43,d20,20,800000,0.005900000222027302
43,d20,20,810000,
43,d20,20,820000,
43,d20,20,830000,
43,d20,20,840000,
43,d20,20,850000,
43,d20,20,860000,
43,d20,20,870000,
43,d20,20,880000,
43,d20,20,890000,
43,d20,20,900000,0.007000000216066837
43,d20,20,910000,
43,d20,20,920000,
43,d20,20,930000,
43,d20,20,940000,
43,d20,20,950000,
43,d20,20,960000,
43,d20,20,970000,
43,d20,20,980000,
43,d20,20,990000,
43,d20,20,1000000,0.007199999876320362
43,d20,20,1010000,
43,d20,20,1020000,
43,d20,20,1030000,
43,d20,20,1040000,
43,d20,20,1050000,
43,d20,20,1060000,
43,d20,20,1070000,
43,d20,20,1080000,
43,d20,20,1090000,
43,d20,20,1100000,0.007400000002235174
43,d20,20,1110000,
43,d20,20,1120000,
43,d20,20,1130000,
43,d20,20,1140000,
43,d20,20,1150000,
43,d20,20,1160000,
43,d20,20,1170000,
43,d20,20,1180000,
43,d20,20,1190000,
43,d20,20,1200000,0.008999999612569809
43,d20,20,1210000,
43,d20,20,1220000,
43,d20,20,1230000,
43,d20,20,1240000,
43,d20,20,1250000,
43,d20,20,1260000,
43,d20,20,1270000,
43,d20,20,1280000,
43,d20,20,1290000,
43,d20,20,1300000,0.008500000461935997
43,d20,20,1310000,
43,d20,20,1320000,
43,d20,20,1330000,
43,d20,20,1340000,
43,d20,20,1350000,
43,d20,20,1360000,
43,d20,20,1370000,
43,d20,20,1380000,
43,d20,20,1390000,
43,d20,20,1400000,0.007799999788403511
43,d20,20,1410000,
43,d20,20,1420000,
43,d20,20,1430000,
43,d20,20,1440000,
43,d20,20,1450000,
43,d20,20,1460000,
43,d20,20,1470000,
43,d20,20,1480000,
43,d20,20,1490000,
43,d20,20,1500000,0.009700000286102295
43,d20,20,1510000,
43,d20,20,1520000,
43,d20,20,1530000,
43,d20,20,1540000,
43,d20,20,1550000,
43,d20,20,1560000,
43,d20,20,1570000,
43,d20,20,1580000,
43,d20,20,1590000,
43,d20,20,1600000,0.009600000455975533
43,d20,20,1610000,
43,d20,20,1620000,
43,d20,20,1630000,
43,d20,20,1640000,
43,d20,20,1650000,
43,d20,20,1660000,
43,d20,20,1670000,
43,d20,20,1680000,
43,d20,20,1690000,
43,d20,20,1700000,0.008999999612569809
43,d20,20,1710000,
43,d20,20,1720000,
43,d20,20,1730000,
43,d20,20,1740000,
43,d20,20,1750000,
43,d20,20,1760000,
43,d20,20,1770000,
43,d20,20,1780000,
43,d20,20,1790000,
43,d20,20,1800000,0.00989999994635582
43,d20,20,1810000,
43,d20,20,1820000,
43,d20,20,1830000,
43,d20,20,1840000,
43,d20,20,1850000,
43,d20,20,1860000,
43,d20,20,1870000,
43,d20,20,1880000,
43,d20,20,1890000,
43,d20,20,1900000,0.010999999940395355
43,d20,20,1910000,
43,d20,20,1920000,
43,d20,20,1930000,
43,d20,20,1940000,
43,d20,20,1950000,
43,d20,20,1960000,
43,d20,20,1970000,
43,d20,20,1980000,
43,d20,20,1990000,
43,d20,20,2000000,0.010099999606609344
43,d20,20,2010000,
43,d20,20,2020000,
43,d20,20,2030000,
43,d20,20,2040000,
43,d20,20,2050000,
43,d20,20,2060000,
43,d20,20,2070000,
43,d20,20,2080000,
43,d20,20,2090000,
43,d20,20,2100000,0.010599999688565731
43,d20,20,2110000,
43,d20,20,2120000,
43,d20,20,2130000,
43,d20,20,2140000,
43,d20,20,2150000,
43,d20,20,2160000,
43,d20,20,2170000,
43,d20,20,2180000,
43,d20,20,2190000,
43,d20,20,2200000,0.010700000450015068
43,d20,20,2210000,
43,d20,20,2220000,
43,d20,20,2230000,
43,d20,20,2240000,
43,d20,20,2250000,
43,d20,20,2260000,
43,d20,20,2270000,
43,d20,20,2280000,
43,d20,20,2290000,
43,d20,20,2300000,0.007600000128149986
43,d20,20,2310000,
43,d20,20,2320000,
43,d20,20,2330000,
43,d20,20,2340000,
43,d20,20,2350000,
43,d20,20,2360000,
43,d20,20,2370000,
43,d20,20,2380000,
43,d20,20,2390000,
43,d20,20,2400000,0.009700000286102295
43,d20,20,2410000,
43,d20,20,2420000,
43,d20,20,2430000,
43,d20,20,2440000,
43,d20,20,2450000,
43,d20,20,2460000,
43,d20,20,2470000,
43,d20,20,2480000,
43,d20,20,2490000,
43,d20,20,2500000,0.011099999770522118
43,d20,20,2510000,
43,d20,20,2520000,
43,d20,20,2530000,
43,d20,20,2540000,
43,d20,20,2550000,
43,d20,20,2560000,
43,d20,20,2570000,
43,d20,20,2580000,
43,d20,20,2590000,
43,d20,20,2600000,0.01119999960064888
43,d20,20,2610000,
43,d20,20,2620000,
43,d20,20,2630000,
43,d20,20,2640000,
43,d20,20,2650000,
43,d20,20,2660000,
43,d20,20,2670000,
43,d20,20,2680000,
43,d20,20,2690000,
43,d20,20,2700000,0.010700000450015068
43,d20,20,2710000,
43,d20,20,2720000,
43,d20,20,2730000,
43,d20,20,2740000,
43,d20,20,2750000,
43,d20,20,2760000,
43,d20,20,2770000,
43,d20,20,2780000,
43,d20,20,2790000,
43,d20,20,2800000,0.01269999984651804
43,d20,20,2810000,
43,d20,20,2820000,
43,d20,20,2830000,
43,d20,20,2840000,
43,d20,20,2850000,
43,d20,20,2860000,
43,d20,20,2870000,
43,d20,20,2880000,
43,d20,20,2890000,
43,d20,20,2900000,0.009100000374019146
43,d20,20,2910000,
43,d20,20,2920000,
43,d20,20,2930000,
43,d20,20,2940000,
43,d20,20,2950000,
43,d20,20,2960000,
43,d20,20,2970000,
43,d20,20,2980000,
43,d20,20,2990000,
43,d20,20,3000000,0.00989999994635582
43,d20,20,3010000,
43,d20,20,3020000,
43,d20,20,3030000,
43,d20,20,3040000,
43,d20,20,3050000,
43,d20,20,3060000,
43,d20,20,3070000,
43,d20,20,3080000,
43,d20,20,3090000,
43,d20,20,3100000,0.01209999993443489
43,d20,20,3110000,
43,d20,20,3120000,
43,d20,20,3130000,
43,d20,20,3140000,
43,d20,20,3150000,
43,d20,20,3160000,
43,d20,20,3170000,
43,d20,20,3180000,
43,d20,20,3190000,
43,d20,20,3200000,0.008999999612569809
43,d20,20,3210000,
43,d20,20,3220000,
43,d20,20,3230000,
43,d20,20,3240000,
43,d20,20,3250000,
43,d20,20,3260000,
43,d20,20,3270000,
43,d20,20,3280000,
43,d20,20,3290000,
43,d20,20,3300000,0.010099999606609344
43,d20,20,3310000,
43,d20,20,3320000,
43,d20,20,3330000,
43,d20,20,3340000,
43,d20,20,3350000,
43,d20,20,3360000,
43,d20,20,3370000,
43,d20,20,3380000,
43,d20,20,3390000,
43,d20,20,3400000,0.013299999758601189
43,d20,20,3410000,
43,d20,20,3420000,
43,d20,20,3430000,
43,d20,20,3440000,
43,d20,20,3450000,
43,d20,20,3460000,
43,d20,20,3470000,
43,d20,20,3480000,
43,d20,20,3490000,
43,d20,20,3500000,0.013100000098347664
43,d20,20,3510000,
43,d20,20,3520000,
43,d20,20,3530000,
43,d20,20,3540000,
43,d20,20,3550000,
43,d20,20,3560000,
43,d20,20,3570000,
43,d20,20,3580000,
43,d20,20,3590000,
43,d20,20,3600000,0.012600000016391277
43,d20,20,3610000,
43,d20,20,3620000,
43,d20,20,3630000,
43,d20,20,3640000,
43,d20,20,3650000,
43,d20,20,3660000,
43,d20,20,3670000,
43,d20,20,3680000,
43,d20,20,3690000,
43,d20,20,3700000,0.01119999960064888
43,d20,20,3710000,
43,d20,20,3720000,
43,d20,20,3730000,
43,d20,20,3740000,
43,d20,20,3750000,
43,d20,20,3760000,
43,d20,20,3770000,
43,d20,20,3780000,
43,d20,20,3790000,
43,d20,20,3800000,0.013399999588727951
43,d20,20,3810000,
43,d20,20,3820000,
43,d20,20,3830000,
43,d20,20,3840000,
43,d20,20,3850000,
43,d20,20,3860000,
43,d20,20,3870000,
43,d20,20,3880000,
43,d20,20,3890000,
43,d20,20,3900000,0.010099999606609344
43,d20,20,3910000,
43,d20,20,3920000,
43,d20,20,3930000,
43,d20,20,3940000,
43,d20,20,3950000,
43,d20,20,3960000,
43,d20,20,3970000,
43,d20,20,3980000,
43,d20,20,3990000,
43,d20,20,4000000,0.012000000104308128
43,d20,20,4010000,
43,d20,20,4020000,
43,d20,20,4030000,
43,d20,20,4040000,
43,d20,20,4050000,
43,d20,20,4060000,
43,d20,20,4070000,
43,d20,20,4080000,
43,d20,20,4090000,
43,d20,20,4100000,0.014299999922513962
43,d20,20,4110000,
43,d20,20,4120000,
43,d20,20,4130000,
43,d20,20,4140000,
43,d20,20,4150000,
43,d20,20,4160000,
43,d20,20,4170000,
43,d20,20,4180000,
43,d20,20,4190000,
43,d20,20,4200000,0.01209999993443489
43,d20,20,4210000,
43,d20,20,4220000,
43,d20,20,4230000,
43,d20,20,4240000,
43,d20,20,4250000,
43,d20,20,4260000,
43,d20,20,4270000,
43,d20,20,4280000,
43,d20,20,4290000,
43,d20,20,4300000,0.012199999764561653
43,d20,20,4310000,
43,d20,20,4320000,
43,d20,20,4330000,
43,d20,20,4340000,
43,d20,20,4350000,
43,d20,20,4360000,
43,d20,20,4370000,
43,d20,20,4380000,
43,d20,20,4390000,
43,d20,20,4400000,0.012299999594688416
43,d20,20,4410000,
43,d20,20,4420000,
43,d20,20,4430000,
43,d20,20,4440000,
43,d20,20,4450000,
43,d20,20,4460000,
43,d20,20,4470000,
43,d20,20,4480000,
43,d20,20,4490000,
43,d20,20,4500000,0.01209999993443489
43,d20,20,4510000,
43,d20,20,4520000,
43,d20,20,4530000,
43,d20,20,4540000,
43,d20,20,4550000,
43,d20,20,4560000,
43,d20,20,4570000,
43,d20,20,4580000,
43,d20,20,4590000,
43,d20,20,4600000,0.012000000104308128
43,d20,20,4610000,
43,d20,20,4620000,
43,d20,20,4630000,
43,d20,20,4640000,
43,d20,20,4650000,
43,d20,20,4660000,
43,d20,20,4670000,
43,d20,20,4680000,
43,d20,20,4690000,
43,d20,20,4700000,0.013199999928474426
43,d20,20,4710000,
43,d20,20,4720000,
43,d20,20,4730000,
43,d20,20,4740000,
43,d20,20,4750000,
43,d20,20,4760000,
43,d20,20,4770000,
43,d20,20,4780000,
43,d20,20,4790000,
43,d20,20,4800000,0.011099999770522118
43,d20,20,4810000,
43,d20,20,4820000,
43,d20,20,4830000,
43,d20,20,4840000,
43,d20,20,4850000,
43,d20,20,4860000,
43,d20,20,4870000,
43,d20,20,4880000,
43,d20,20,4890000,
43,d20,20,4900000,0.014499999582767487
43,d20,20,4910000,
43,d20,20,4920000,
43,d20,20,4930000,
43,d20,20,4940000,
43,d20,20,4950000,
43,d20,20,4960000,
43,d20,20,4970000,
43,d20,20,4980000,
43,d20,20,4990000,
43,d20,20,5000000,0.012000000104308128
44,d20,20,1,0.0
44,d20,20,10000,
44,d20,20,20000,
44,d20,20,30000,
44,d20,20,40000,
44,d20,20,50000,
44,d20,20,60000,
44,d20,20,70000,
44,d20,20,80000,
44,d20,20,90000,
44,d20,20,100000,0.0
44,d20,20,110000,
44,d20,20,120000,
44,d20,20,130000,
44,d20,20,140000,
44,d20,20,150000,
44,d20,20,160000,
44,d20,20,170000,
44,d20,20,180000,
44,d20,20,190000,
44,d20,20,200000,9.999999747378752e-05
44,d20,20,210000,
