d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
240.0,0.1,2680000.0,130384.04810405297,161893.17847087063,5.0,0.0,1949639.6525976183,-730360.3474023817,-0.3181722325632227,0.9494241019378501,1.3593563908785242e-06
240.0,0.25,,,,0.0,5.0,3217894.1750303195,,,0.9893534990301607,1.3593563908785242e-06
240.0,0.5,,,,0.0,5.0,5861365.68448696,,,0.9992400737910081,1.3593563908785242e-06
240.0,0.75,,,,0.0,5.0,5861365.68448696,,,0.9992400737910081,1.3593563908785242e-06
260.0,0.01,1080000.0,683373.9825307955,848520.8714176184,5.0,0.0,731964.5072125165,-348035.4927874835,-0.3889842947471015,0.6666274301427989,1.3593563908785242e-06
260.0,0.05,2520000.0,1391761.4738165445,1728100.1161250174,5.0,0.0,1378772.8485917079,-1141227.1514082921,-0.6030650381137228,0.8819366819000688,1.3593563908785242e-06
260.0,0.1,3400000.0,244948.97427831782,340043.6903291285,4.0,1.0,1980934.566585415,-1419065.433414585,-0.5402066949482348,0.9494241019378501,1.3593563908785242e-06
260.0,0.25,,,,0.0,5.0,3257531.0178531073,,,0.9893534990301607,1.3593563908785242e-06
260.0,0.5,,,,0.0,5.0,5903439.729083073,,,0.9992400737910081,1.3593563908785242e-06
260.0,0.75,,,,0.0,5.0,5903439.729083073,,,0.9992400737910081,1.3593563908785242e-06
