d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
160.0,0.25,1900000.0,122474.48713915891,152072.16137916382,5.0,0.0,2203941.4198236233,303941.41982362326,0.14839342573765046,0.8714656685381458,1e-06
160.0,0.5,3740000.0,792464.510246358,983974.6522270825,5.0,0.0,3785298.950644191,45298.95064419089,0.01203925534112305,0.9658122228431161,1e-06
160.0,0.75,,,,0.0,5.0,3785298.950644191,,,0.9658122228431161,1e-06
180.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,670897.5338027102,10897.53380271024,0.016376583587985768,0.370553725107513,1e-06
180.0,0.05,1020000.0,44721.359549995796,55528.902103955974,5.0,0.0,1133473.159517523,113473.1595175229,0.1054838840925011,0.5863952509446246,1e-06
180.0,0.1,1340000.0,114017.5425099138,141571.47769822748,5.0,0.0,1512825.56077094,172825.56077094004,0.1213095205884769,0.7021865285577539,1e-06
180.0,0.25,2220000.0,327108.54467592255,406158.90342892136,5.0,0.0,2627160.472754963,407160.4727549632,0.1683963988899602,0.8714656685381458,1e-06
180.0,0.5,4400000.0,848528.137423857,1665867.063118679,2.0,3.0,5358896.887082518,958896.8870825181,0.19715360832902842,0.9658122228431161,1e-06
180.0,0.75,,,,0.0,5.0,5358896.887082518,,,0.9658122228431161,1e-06
200.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,713307.6622839558,53307.66228395584,0.07767299622735392,0.370553725107513,1e-06
200.0,0.05,1180000.0,130384.04810405297,161893.17847087063,5.0,0.0,1265142.9418874194,85142.94188741944,0.06967067485763112,0.5863952509446246,1e-06
200.0,0.1,1800000.0,316227.7660168379,392648.6322955121,5.0,0.0,1774729.038357168,-25270.96164283203,-0.014138908074281798,0.7021865285577539,1e-06
200.0,0.25,3540000.0,850294.0667792526,1055779.5306060673,5.0,0.0,3838414.71944034,298414.71944034006,0.08093272073567305,0.8714656685381458,1e-06
200.0,0.5,,,,0.0,5.0,10870505.525913807,,,0.9658122228431161,1e-06
200.0,0.75,,,,0.0,5.0,10870505.525913807,,,0.9658122228431161,1e-06
220.0,0.01,680000.0,44721.359549995796,55528.902103955974,5.0,0.0,774531.7814030187,94531.78140301874,0.130165895580852,0.370553725107513,1e-06
220.0,0.05,1420000.0,83666.00265340756,103885.06336835696,5.0,0.0,1417294.1036904464,-2705.8963095536456,-0.0019073786720895155,0.5863952509446246,1e-06
220.0,0.1,2380000.0,148323.96974191326,184168.5332991985,5.0,0.0,2056408.2774019777,-323591.7225980223,-0.1461395813016583,0.7021865285577539,1e-06
220.0,0.25,,,,0.0,5.0,5014848.26946731,,,0.8714656685381458,1e-06
220.0,0.5,,,,0.0,5.0,12665604.67495749,,,0.9658122228431161,1e-06
220.0,0.75,,,,0.0,5.0,12665604.67495749,,,0.9658122228431161,1e-06
240.0,0.01,700000.0,0.0,0.0,5.0,0.0,862269.6622169719,162269.66221697186,0.20848771989652937,0.370553725107513,1e-06
240.0,0.05,1500000.0,70710.67811865476,87798.90330850845,5.0,0.0,1693855.64612906,193855.64612906007,0.12154226969086437,0.5863952509446246,1e-06
240.0,0.1,2680000.0,130384.04810405297,161893.17847087063,5.0,0.0,2658454.485539399,-21545.514460600913,-0.008071861060872992,0.7021865285577539,1e-06
240.0,0.25,,,,0.0,5.0,7109741.639014107,,,0.8714656685381458,1e-06
240.0,0.5,,,,0.0,5.0,14899915.738097202,,,0.9658122228431161,1e-06
240.0,0.75,,,,0.0,5.0,14899915.738097202,,,0.9658122228431161,1e-06
260.0,0.01,1080000.0,683373.9825307955,848520.8714176184,5.0,0.0,936049.4298801711,-143950.57011982892,-0.14304803533401905,0.370553725107513,1e-06
260.0,0.05,2520000.0,1391761.4738165445,1728100.1161250174,5.0,0.0,1912126.8891976173,-607873.1108023827,-0.2760427244530526,0.5863952509446246,1e-06
260.0,0.1,3400000.0,244948.97427831782,340043.6903291285,4.0,1.0,3126224.5705362055,-273775.42946379445,-0.0839493626202509,0.7021865285577539,1e-06
260.0,0.25,,,,0.0,5.0,8036493.422214736,,,0.8714656685381458,1e-06
260.0,0.5,,,,0.0,5.0,15780588.145597689,,,0.9658122228431161,1e-06
260.0,0.75,,,,0.0,5.0,15780588.145597689,,,0.9658122228431161,1e-06
