seed,d,step,mem,fid,loss
42,10,860000,,,1.8064069747924805
42,10,870000,,,1.7163975238800049
42,10,880000,,,1.8125795125961304
42,10,890000,,,1.8270819187164307
42,10,900000,0.0032999999821186066,88.71750945341054,1.775524377822876
42,10,910000,,,1.858801007270813
42,10,920000,,,1.734588384628296
42,10,930000,,,1.6438146829605103
42,10,940000,,,1.7481286525726318
42,10,950000,,,1.9255335330963135
42,10,960000,,,1.70688796043396
42,10,970000,,,1.9027860164642334
42,10,980000,,,1.7303438186645508
42,10,990000,,,1.8330116271972656
42,10,1000000,0.0035000001080334187,86.9682715002116,1.857381820678711
42,10,1010000,,,1.883141040802002
42,10,1020000,,,1.8642547130584717
42,10,1030000,,,1.9089550971984863
42,10,1040000,,,1.8464525938034058
42,10,1050000,,,1.8180209398269653
42,10,1060000,,,1.7339653968811035
42,10,1070000,,,1.789940357208252
42,10,1080000,,,1.6938248872756958
42,10,1090000,,,1.7246049642562866
42,10,1100000,0.002899999963119626,86.85568831056113,1.7556103467941284
42,10,1110000,,,1.6086151599884033
42,10,1120000,,,1.599355697631836
42,10,1130000,,,1.8133974075317383
42,10,1140000,,,1.8408689498901367
42,10,1150000,,,1.6822967529296875
42,10,1160000,,,1.7583972215652466
42,10,1170000,,,1.685655117034912
42,10,1180000,,,1.682124376296997
42,10,1190000,,,1.8845150470733643
42,10,1200000,0.0044999998062849045,86.2310691454868,1.6376047134399414
42,10,1210000,,,1.754382848739624
42,10,1220000,,,1.9017431735992432
42,10,1230000,,,1.6261694431304932
42,10,1240000,,,1.5643244981765747
42,10,1250000,,,1.8058414459228516
42,10,1260000,,,1.8806507587432861
42,10,1270000,,,1.6528698205947876
42,10,1280000,,,1.6639279127120972
42,10,1290000,,,1.9376897811889648
42,10,1300000,0.00430000014603138,86.7596028816759,1.74129319190979
42,10,1310000,,,1.6847234964370728
42,10,1320000,,,1.836072564125061
42,10,1330000,,,1.8286858797073364
42,10,1340000,,,1.6347017288208008
42,10,1350000,,,1.5345594882965088
42,10,1360000,,,1.9417438507080078
42,10,1370000,,,1.7992891073226929
42,10,1380000,,,1.7763886451721191
42,10,1390000,,,1.6917669773101807
42,10,1400000,0.004800000227987766,85.43086263162016,1.8669536113739014
42,10,1410000,,,1.973821759223938
42,10,1420000,,,1.8381781578063965
42,10,1430000,,,1.6428508758544922
42,10,1440000,,,1.8831353187561035
42,10,1450000,,,1.6912177801132202
42,10,1460000,,,1.7593650817871094
42,10,1470000,,,1.8448420763015747
42,10,1480000,,,1.8506479263305664
42,10,1490000,,,1.845166563987732
42,10,1500000,0.0034000000450760126,85.9068872655389,1.7829986810684204
42,10,1510000,,,1.6819286346435547
42,10,1520000,,,1.8713468313217163
42,10,1530000,,,1.7536158561706543
42,10,1540000,,,1.9183205366134644
42,10,1550000,,,1.7484954595565796
42,10,1560000,,,1.749042272567749
42,10,1570000,,,1.8607902526855469
42,10,1580000,,,1.7422332763671875
42,10,1590000,,,1.815125584602356
42,10,1600000,0.004900000058114529,86.94944875632143,1.5220446586608887
42,10,1610000,,,1.7352745532989502
