d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
70.0,0.5,1400000.0,0.0,0.0,5.0,0.0,1677247.3406601844,277247.3406601844,0.18068172530265314,0.8862057720584068,1.3593563908785242e-06
70.0,0.75,2460000.0,89442.71909999159,111057.80420791195,5.0,0.0,2943825.952602744,483825.9526027441,0.17954872981425907,0.975317503593595,1.3593563908785242e-06
80.0,0.01,200000.0,0.0,0.0,5.0,0.0,290367.51260997367,90367.51260997367,0.3728300389667808,0.2557987887176989,1.3593563908785242e-06
80.0,0.05,320000.0,44721.359549995796,55528.902103955974,5.0,0.0,484928.7364680788,164928.7364680788,0.4156809492303257,0.4365968761570915,1.3593563908785242e-06
80.0,0.1,500000.0,0.0,0.0,5.0,0.0,606192.6627265231,106192.66272652312,0.1925897624108787,0.5266252382965828,1.3593563908785242e-06
80.0,0.25,900000.0,0.0,0.0,5.0,0.0,1043497.7479928097,143497.74799280975,0.1479388050620196,0.7422582976356743,1.3593563908785242e-06
80.0,0.5,1480000.0,83666.00265340756,103885.06336835696,5.0,0.0,1670444.4684545093,190444.46845450928,0.12104765201649294,0.8862057720584068,1.3593563908785242e-06
80.0,0.75,2700000.0,70710.67811865476,87798.90330850845,5.0,0.0,2940355.266982688,240355.2669826881,0.08527864014960751,0.975317503593595,1.3593563908785242e-06
90.0,0.01,200000.0,0.0,0.0,5.0,0.0,291844.6972171807,91844.69721718068,0.37790443538788815,0.2557987887176989,1.3593563908785242e-06
90.0,0.05,400000.0,0.0,0.0,5.0,0.0,487976.9322509837,87976.93225098372,0.1988035876504122,0.4365968761570915,1.3593563908785242e-06
90.0,0.1,580000.0,44721.359549995796,55528.902103955974,5.0,0.0,610514.2839857651,30514.28398576507,0.05127358692866474,0.5266252382965828,1.3593563908785242e-06
90.0,0.25,1000000.0,0.0,0.0,5.0,0.0,1054041.5955538545,54041.59555385448,0.05263191381281647,0.7422582976356743,1.3593563908785242e-06
90.0,0.5,1680000.0,44721.359549995796,55528.902103955974,5.0,0.0,1692726.8059028417,12726.805902841734,0.00754692985292045,0.8862057720584068,1.3593563908785242e-06
90.0,0.75,3000000.0,70710.67811865476,87798.90330850845,5.0,0.0,2991676.9933712753,-8323.006628724746,-0.0027781911445668886,0.975317503593595,1.3593563908785242e-06
100.0,0.01,200000.0,0.0,0.0,5.0,0.0,293205.66129005846,93205.66129005846,0.3825569119071722,0.2557987887176989,1.3593563908785242e-06
100.0,0.05,400000.0,0.0,0.0,5.0,0.0,490039.6957327407,90039.69573274069,0.20302185241489049,0.4365968761570915,1.3593563908785242e-06
100.0,0.1,640000.0,54772.25575051661,68008.73806582569,5.0,0.0,612690.2369882019,-27309.763011798146,-0.04360869115708971,0.5266252382965828,1.3593563908785242e-06
100.0,0.25,1180000.0,44721.359549995796,55528.902103955974,5.0,0.0,1054689.8346409898,-125310.16535901022,-0.11226771037568009,0.7422582976356743,1.3593563908785242e-06
100.0,0.5,1880000.0,83666.00265340756,103885.06336835696,5.0,0.0,1688559.4469067804,-191440.55309321964,-0.10739600968487932,0.8862057720584068,1.3593563908785242e-06
100.0,0.75,4200000.0,141421.35623730952,175597.8066170169,5.0,0.0,2977546.6375158867,-1222453.3624841133,-0.343984839851193,0.975317503593595,1.3593563908785242e-06
120.0,0.01,300000.0,0.0,0.0,5.0,0.0,303769.32082167437,3769.320821674366,0.012486125619049092,0.2557987887176989,1.3593563908785242e-06
120.0,0.05,600000.0,0.0,0.0,5.0,0.0,508287.7293298975,-91712.2706701025,-0.1658819716608217,0.4365968761570915,1.3593563908785242e-06
120.0,0.1,900000.0,70710.67811865476,87798.90330850845,5.0,0.0,635297.8074623819,-264702.1925376181,-0.34830088624244415,0.5266252382965828,1.3593563908785242e-06
120.0,0.25,1540000.0,54772.25575051661,68008.73806582569,5.0,0.0,1090862.2366112529,-449137.7633887471,-0.34481399013129405,0.7422582976356743,1.3593563908785242e-06
120.0,0.5,2480000.0,83666.00265340756,103885.06336835696,5.0,0.0,1742353.1486977276,-737646.8513022724,-0.3530219762894312,0.8862057720584068,1.3593563908785242e-06
120.0,0.75,5000000.0,0.0,0.0,1.0,4.0,3068329.7969332254,-1931670.2030667746,-0.48830453896539683,0.975317503593595,1.3593563908785242e-06
