d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
160.0,0.5,3440000.0,364691.65057620936,452824.49296598707,5.0,0.0,2668866.10266213,-771133.8973378702,-0.2538177698264032,0.99706630132355,2.1544346900318822e-06
160.0,0.75,,,,0.0,5.0,4657560.382333114,,,0.9998482012703336,2.1544346900318822e-06
180.0,0.01,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,353509.84412442695,-366490.15587557305,-0.7113398794673578,0.6272483701348919,2.1544346900318822e-06
180.0,0.05,1080000.0,44721.359549995796,55528.902103955974,5.0,0.0,609063.8534501274,-470936.1465498726,-0.572793208232909,0.8175092088292494,2.1544346900318822e-06
180.0,0.1,1360000.0,54772.25575051661,68008.73806582569,5.0,0.0,828945.6696517013,-531054.3303482987,-0.4950853629539175,0.8947461515549976,2.1544346900318822e-06
180.0,0.25,2160000.0,114017.5425099138,141571.47769822748,5.0,0.0,1569018.751000753,-590981.2489992471,-0.31965779709195447,0.9784917515831288,2.1544346900318822e-06
180.0,0.5,4440000.0,250998.00796022266,311655.1901050709,5.0,0.0,2711290.7734146845,-1728709.2265853155,-0.4932295547944163,0.99706630132355,2.1544346900318822e-06
180.0,0.75,,,,0.0,5.0,5003371.688737854,,,0.9998482012703336,2.1544346900318822e-06
200.0,0.01,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,345529.8368644613,-374470.1631355387,-0.7341722140232102,0.6272483701348919,2.1544346900318822e-06
200.0,0.05,1160000.0,54772.25575051661,68008.73806582569,5.0,0.0,599430.5218110669,-560569.4781889331,-0.6601952099085404,0.8175092088292494,2.1544346900318822e-06
200.0,0.1,1560000.0,54772.25575051661,68008.73806582569,5.0,0.0,817959.368557692,-742040.631442308,-0.6456284365643779,0.8947461515549976,2.1544346900318822e-06
200.0,0.25,2480000.0,109544.51150103322,136017.47613165138,5.0,0.0,1553071.267436108,-926928.7325638919,-0.4680241268919115,0.9784917515831288,2.1544346900318822e-06
200.0,0.5,,,,0.0,5.0,2675993.9130135765,,,0.99706630132355,2.1544346900318822e-06
200.0,0.75,,,,0.0,5.0,5050299.149710431,,,0.9998482012703336,2.1544346900318822e-06
